Source,Target,Type,Id,Label,Weight
protein2,protein1,Undirected,91202,,1
CHEK2,ARF5,Undirected,91203,,1
CHEK2,CFTR,Undirected,91204,,1
CHEK2,USP28,Undirected,91205,,1
CHEK2,RPAP3,Undirected,91206,,1
CHEK2,CRY1,Undirected,91207,,1
CHEK2,CAMK1G,Undirected,91208,,1
CHEK2,CD4,Undirected,91209,,1
CHEK2,PPP5C,Undirected,91210,,1
CHEK2,ERCC1,Undirected,91211,,1
CHEK2,GABARAPL2,Undirected,91212,,1
CHEK2,RFC2,Undirected,91213,,1
CHEK2,ARHGEF5,Undirected,91214,,1
CHEK2,HDAC7,Undirected,91215,,1
CHEK2,GSC2,Undirected,91216,,1
CHEK2,TRIB2,Undirected,91217,,1
CHEK2,OTUD5,Undirected,91218,,1
CHEK2,KDM4B,Undirected,91219,,1
CHEK2,CTTNBP2,Undirected,91220,,1
CHEK2,KIF22,Undirected,91221,,1
CHEK2,YTHDC2,Undirected,91222,,1
CHEK2,TNFRSF1A,Undirected,91223,,1
CHEK2,PPP2R5B,Undirected,91224,,1
CHEK2,BCL3,Undirected,91225,,1
CHEK2,TRIP13,Undirected,91226,,1
CHEK2,KEAP1,Undirected,91227,,1
CHEK2,TNS1,Undirected,91228,,1
CHEK2,C12orf5,Undirected,91229,,1
CHEK2,NME8,Undirected,91230,,1
CHEK2,ZW10,Undirected,91231,,1
CHEK2,PPP1R15A,Undirected,91232,,1
CHEK2,REM1,Undirected,91233,,1
CHEK2,PDRG1,Undirected,91234,,1
CHEK2,PPP1R13B,Undirected,91235,,1
CHEK2,SIRT4,Undirected,91236,,1
CHEK2,G2E3,Undirected,91237,,1
CHEK2,TEKT2,Undirected,91238,,1
CHEK2,CDC6,Undirected,91239,,1
CHEK2,CBX5,Undirected,91240,,1
CHEK2,PSMD5,Undirected,91241,,1
CHEK2,MAPK13,Undirected,91242,,1
CHEK2,VCL,Undirected,91243,,1
CHEK2,SIRT1,Undirected,91244,,1
CHEK2,TECR,Undirected,91245,,1
CHEK2,CDC34,Undirected,91246,,1
CHEK2,GADD45B,Undirected,91247,,1
CHEK2,MAPK12,Undirected,91248,,1
CHEK2,MAPK1,Undirected,91249,,1
CHEK2,ANKRD54,Undirected,91250,,1
