Source,Target,Type,Id,Label,Weight
CHEK2,ARF5,Undirected,91203,,1
CHEK2,USP28,Undirected,91205,,1
CHEK2,CRY1,Undirected,91207,,1
CHEK2,CAMK1G,Undirected,91208,,1
CHEK2,PPP5C,Undirected,91210,,1
CHEK2,ERCC1,Undirected,91211,,1
CHEK2,GSC2,Undirected,91216,,1
CHEK2,TRIB2,Undirected,91217,,1
CHEK2,PPP2R5B,Undirected,91224,,1
CHEK2,BCL3,Undirected,91225,,1
CHEK2,KEAP1,Undirected,91227,,1
CHEK2,TNS1,Undirected,91228,,1
CHEK2,NME8,Undirected,91230,,1
CHEK2,PPP1R15A,Undirected,91232,,1
CHEK2,REM1,Undirected,91233,,1
CHEK2,PDRG1,Undirected,91234,,1
CHEK2,PPP1R13B,Undirected,91235,,1
CHEK2,G2E3,Undirected,91237,,1
CHEK2,TEKT2,Undirected,91238,,1
CHEK2,CDC6,Undirected,91239,,1
CHEK2,CBX5,Undirected,91240,,1
CHEK2,MAPK13,Undirected,91242,,1
CHEK2,CDC34,Undirected,91246,,1
CHEK2,MAPK12,Undirected,91248,,1
CHEK2,MAPK1,Undirected,91249,,1
CHEK2,ANKRD54,Undirected,91250,,1
CHEK2,MCM5,Undirected,91254,,1
CHEK2,TAB1,Undirected,91255,,1
CHEK2,HDAC10,Undirected,91257,,1
CHEK2,VRK1,Undirected,91260,,1
CHEK2,NFKBIA,Undirected,91262,,1
CHEK2,BRMS1L,Undirected,91263,,1
CHEK2,TRIB3,Undirected,91267,,1
CHEK2,CSNK2A1,Undirected,91268,,1
CHEK2,MACROD2,Undirected,91269,,1
CHEK2,APMAP,Undirected,91270,,1
CHEK2,PSMD10,Undirected,91271,,1
CHEK2,TBL1X,Undirected,91272,,1
CHEK2,USP11,Undirected,91275,,1
CHEK2,DHODH,Undirected,91280,,1
CHEK2,PLA2G15,Undirected,91281,,1
CHEK2,STUB1,Undirected,91284,,1
CHEK2,SLC6A2,Undirected,91286,,1
CHEK2,GABPB1,Undirected,91287,,1
CHEK2,OIP5,Undirected,91288,,1
CHEK2,DKK4,Undirected,91289,,1
CHEK2,TNFRSF10A,Undirected,91292,,1
CHEK2,PPP2CB,Undirected,91293,,1
CHEK2,FBL,Undirected,91295,,1
CHEK2,GSK3A,Undirected,91298,,1
CHEK2,TWISTNB,Undirected,91300,,1
CHEK2,ZNF688,Undirected,91303,,1
CHEK2,OBFC1,Undirected,91305,,1
CHEK2,RPS6KB1,Undirected,91306,,1
CHEK2,KAT2A,Undirected,91308,,1
CHEK2,HDAC5,Undirected,91309,,1
CHEK2,DUSP3,Undirected,91310,,1
CHEK2,NFKB1,Undirected,91311,,1
CHEK2,GLI1,Undirected,91315,,1
CHEK2,NANOG,Undirected,91321,,1
CHEK2,MAPK14,Undirected,91327,,1
CHEK2,CAP2,Undirected,91328,,1
CHEK2,LAMA4,Undirected,91331,,1
CHEK2,ISL1,Undirected,91332,,1
CHEK2,NUDT12,Undirected,91333,,1
CHEK2,SKP1,Undirected,91335,,1
