Source,Target,Type,Id,Label,Weight
SLC29A1,SLC7A9,Undirected,120233,,1
SLC29A1,SLC2A3,Undirected,120234,,1
SLC29A1,SLC22A4,Undirected,120237,,1
SLC29A1,MLF2,Undirected,120238,,1
SLC29A1,ADH1A,Undirected,120240,,1
SLC29A1,SLC25A1,Undirected,120241,,1
SLC29A1,SLC10A1,Undirected,120243,,1
SLC29A1,SLC52A3,Undirected,120248,,1
SLC29A1,AQP9,Undirected,120252,,1
SLC29A1,SLC1A6,Undirected,120253,,1
SLC29A1,ABHD11,Undirected,120256,,1
SLC29A1,P2RX1,Undirected,120257,,1
SLC29A1,SLC25A11,Undirected,120258,,1
SLC29A1,SLC15A3,Undirected,120260,,1
SLC29A1,SLC25A3,Undirected,120261,,1
SLC29A1,ITFG2,Undirected,120262,,1
SLC29A1,DNPH1,Undirected,120264,,1
SLC29A1,SLC6A7,Undirected,120265,,1
SLC29A1,SPARC,Undirected,120267,,1
SLC29A1,ST8SIA4,Undirected,120269,,1
SLC29A1,UMPS,Undirected,120273,,1
SLC29A1,SLC1A4,Undirected,120274,,1
SLC29A1,SLC35D1,Undirected,120275,,1
SLC29A1,SLC19A2,Undirected,120277,,1
SLC29A1,SLC5A9,Undirected,120278,,1
SLC29A1,ACOT2,Undirected,120281,,1
SLC29A1,FLVCR2,Undirected,120282,,1
SLC29A1,SLC35B1,Undirected,120283,,1
SLC29A1,GSTM2,Undirected,120284,,1
SLC29A1,CD97,Undirected,120288,,1
SLC29A1,SLC17A1,Undirected,120291,,1
SLC29A1,MRPS7,Undirected,120294,,1
SLC29A1,VASP,Undirected,120296,,1
SLC29A1,CLN6,Undirected,120302,,1
SLC29A1,CD68,Undirected,120303,,1
SLC29A1,C20orf194,Undirected,120306,,1
SLC29A1,SLC27A1,Undirected,120307,,1
SLC29A1,MRPL4,Undirected,120309,,1
SLC29A1,SLC35D2,Undirected,120310,,1
SLC29A1,PER2,Undirected,120314,,1
SLC29A1,CMPK2,Undirected,120319,,1
SLC29A1,SLCO1B1,Undirected,120320,,1
SLC29A1,NT5E,Undirected,120322,,1
SLC29A1,MFSD9,Undirected,120323,,1
SLC29A1,SLC41A2,Undirected,120324,,1
SLC29A1,SLC31A2,Undirected,120325,,1
SLC29A1,SLCO5A1,Undirected,120327,,1
SLC29A1,ABCG5,Undirected,120328,,1
SLC29A1,SLC3A1,Undirected,120329,,1
SLC29A1,PPIG,Undirected,120331,,1
SLC29A1,ABCC9,Undirected,120334,,1
SLC29A1,PFDN1,Undirected,120339,,1
SLC29A1,AP4E1,Undirected,120340,,1
SLC29A1,TELO2,Undirected,120342,,1
SLC29A1,CBFA2T2,Undirected,120345,,1
SLC29A1,SLC27A5,Undirected,120348,,1
SLC29A1,SLC10A3,Undirected,120350,,1
SLC29A1,ACCS,Undirected,120351,,1
SLC29A1,ABCB11,Undirected,120352,,1
SLC29A1,COQ10B,Undirected,120353,,1
SLC29A1,SLC1A3,Undirected,120360,,1
SLC29A1,SCAP,Undirected,120363,,1
SLC29A1,DUS4L,Undirected,120365,,1
SLC29A1,SLC6A15,Undirected,120369,,1
SLC29A1,MED9,Undirected,120371,,1
SLC29A1,EPN3,Undirected,120372,,1
SLC29A1,NPC1,Undirected,120374,,1
SLC29A1,SLC47A1,Undirected,120377,,1
SLC29A1,ABCG8,Undirected,120378,,1
SLC29A1,SLC20A1,Undirected,120379,,1
SLC29A1,ABCA12,Undirected,120380,,1
SLC29A1,SLC22A14,Undirected,120381,,1
SLC29A1,LIMD1,Undirected,120383,,1
SLC29A1,GPR128,Undirected,120384,,1
SLC29A1,EIF2B5,Undirected,120385,,1
SLC29A1,SLC10A6,Undirected,120387,,1
SLC29A1,SLC22A3,Undirected,120388,,1
SLC29A1,SLC12A9,Undirected,120391,,1
SLC29A1,ZC3HAV1L,Undirected,120392,,1
SLC29A1,DPYS,Undirected,120393,,1
SLC29A1,LRRC4C,Undirected,120395,,1
SLC29A1,SLC43A1,Undirected,120397,,1
SLC29A1,MPZL2,Undirected,120398,,1
SLC29A1,SLC13A3,Undirected,120399,,1
SLC29A1,SLC22A9,Undirected,120400,,1
SLC29A1,SLC2A13,Undirected,120402,,1
SLC29A1,GJA1,Undirected,120405,,1
SLC29A1,PANX3,Undirected,120409,,1
SLC29A1,ABCA6,Undirected,120411,,1
SLC29A1,MYO5B,Undirected,120412,,1
SLC29A1,SASS6,Undirected,120417,,1
SLC29A1,SLC45A1,Undirected,120422,,1
SLC29A1,GSTT2B,Undirected,120424,,1
SLC29A1,ZNF251,Undirected,120425,,1
SLC29A1,C7orf62,Undirected,120432,,1
SLC29A1,SLC13A4,Undirected,120433,,1
SLC29A1,NOS3,Undirected,120434,,1
SLC29A1,SLC18A2,Undirected,120436,,1
SLC29A1,HPRT1,Undirected,120437,,1
SLC29A1,PCBD1,Undirected,120438,,1
SLC29A1,TK2,Undirected,120439,,1
SLC29A1,ENTHD2,Undirected,120440,,1
SLC29A1,RRM1,Undirected,120441,,1
SLC29A1,SLC22A11,Undirected,120447,,1
SLC29A1,VAT1L,Undirected,120450,,1
SLC29A1,UGT1A6,Undirected,120451,,1
SLC29A1,ADORA2B,Undirected,120452,,1
SLC29A1,P2RY1,Undirected,120453,,1
SLC29A1,DTYMK,Undirected,120454,,1
SLC29A1,UGT1A8,Undirected,120455,,1
SLC29A1,GNB2,Undirected,120456,,1
SLC29A1,SLC6A19,Undirected,120457,,1
SLC29A1,CHST11,Undirected,120458,,1
SLC29A1,P2RY12,Undirected,120461,,1
SLC29A1,SLC19A1,Undirected,120467,,1
SLC29A1,SLCO4C1,Undirected,120470,,1
SLC29A1,HSPB7,Undirected,120471,,1
SLC29A1,SLC5A6,Undirected,120473,,1
SLC29A1,RNF26,Undirected,120481,,1
SLC29A1,SLC35C1,Undirected,120482,,1
SLC29A1,AURKB,Undirected,120484,,1
SLC29A1,KLHDC3,Undirected,120485,,1
SLC29A1,SIDT2,Undirected,120486,,1
SLC29A1,FOXR1,Undirected,120487,,1
SLC29A1,SLC28A2,Undirected,120488,,1
SLC29A1,COX5A,Undirected,120492,,1
SLC29A1,CES2,Undirected,120493,,1
SLC29A1,LINS,Undirected,120495,,1
SLC29A1,SLC35C2,Undirected,120496,,1
SLC29A1,SLC9A9,Undirected,120499,,1
SLC29A1,P2RY13,Undirected,120500,,1
SLC29A1,SLC7A8,Undirected,120501,,1
SLC29A1,SLC25A36,Undirected,120504,,1
SLC29A1,IMPDH2,Undirected,120506,,1
SLC29A1,SLC16A8,Undirected,120507,,1
SLC29A1,SLC25A22,Undirected,120508,,1
SLC29A1,SLC6A18,Undirected,120512,,1
SLC29A1,ZADH2,Undirected,120513,,1
SLC29A1,NADSYN1,Undirected,120514,,1
SLC29A1,SLC22A10,Undirected,120518,,1
SLC29A1,SLC5A2,Undirected,120519,,1
SLC29A1,ATP6V0C,Undirected,120520,,1
SLC29A1,UPP1,Undirected,120521,,1
SLC29A1,RPS27L,Undirected,120524,,1
SLC29A1,XKR3,Undirected,120525,,1
SLC29A1,PMCH,Undirected,120526,,1
SLC29A1,MFSD10,Undirected,120527,,1
SLC29A1,LAMP1,Undirected,120530,,1
SLC29A1,HSD17B13,Undirected,120531,,1
SLC29A1,SLC35D3,Undirected,120532,,1
SLC29A1,ABCC5,Undirected,120533,,1
SLC29A1,CCDC84,Undirected,120535,,1
SLC29A1,SLC51B,Undirected,120537,,1
SLC29A1,ADORA2A,Undirected,120538,,1
SLC29A1,HIP1,Undirected,120539,,1
SLC29A1,SUV39H1,Undirected,120543,,1
SLC29A1,ATP13A4,Undirected,120544,,1
SLC29A1,SLC20A2,Undirected,120548,,1
SLC29A1,MAOA,Undirected,120549,,1
SLC29A1,AGMO,Undirected,120552,,1
SLC29A1,ATP13A5,Undirected,120553,,1
SLC29A1,SLC25A15,Undirected,120554,,1
SLC29A1,IMPDH1,Undirected,120558,,1
SLC29A1,HTR3A,Undirected,120563,,1
SLC29A1,SLC17A5,Undirected,120564,,1
SLC29A1,UPF2,Undirected,120566,,1
SLC29A1,ABCD4,Undirected,120567,,1
SLC29A1,DCTD,Undirected,120568,,1
SLC29A1,SLC29A2,Undirected,120571,,1
SLC29A1,ATP2B4,Undirected,120572,,1
SLC29A1,MCTP2,Undirected,120573,,1
SLC29A1,PRIM1,Undirected,120574,,1
SLC29A1,SUSD2,Undirected,120575,,1
SLC29A1,P2RX4,Undirected,120579,,1
SLC29A1,SLC6A9,Undirected,120583,,1
SLC29A1,ENPP1,Undirected,120584,,1
SLC29A1,PNP,Undirected,120587,,1
SLC29A1,SLC39A13,Undirected,120588,,1
SLC29A1,DRD2,Undirected,120589,,1
SLC29A1,CD47,Undirected,120591,,1
SLC29A1,NTPCR,Undirected,120592,,1
SLC29A1,PARP1,Undirected,120593,,1
SLC29A1,SLC22A2,Undirected,120595,,1
SLC29A1,SLC41A1,Undirected,120598,,1
SLC29A1,B3GALT2,Undirected,120602,,1
SLC29A1,RPS27,Undirected,120607,,1
SLC29A1,KIAA1919,Undirected,120609,,1
SLC29A1,SLC16A10,Undirected,120610,,1
SLC29A1,SLC22A15,Undirected,120614,,1
SLC29A1,SLC35A1,Undirected,120616,,1
SLC29A1,ADORA3,Undirected,120617,,1
SLC29A1,GSTM4,Undirected,120619,,1
SLC29A1,HIAT1,Undirected,120620,,1
SLC29A1,SLC35A3,Undirected,120621,,1
SLC29A1,DPYD,Undirected,120622,,2
SLC29A1,SLC17A9,Undirected,120624,,1
SLC29A1,ENTPD7,Undirected,120626,,1
SLC29A1,SLC44A5,Undirected,120628,,1
SLC29A1,ENTPD1,Undirected,120629,,1
SLC29A1,SLC25A5,Undirected,120633,,1
SLC29A1,SLC2A6,Undirected,120636,,1
SLC29A1,ABCC10,Undirected,120639,,1
SLC29A1,SLC22A7,Undirected,120640,,1
SLC29A1,ADA,Undirected,120643,,1
SLC29A1,SLC29A3,Undirected,120644,,1
SLC29A1,SLC2A8,Undirected,120647,,1
SLC29A1,GPR21,Undirected,120652,,1
SLC29A1,ROMO1,Undirected,120653,,1
SLC29A1,SLC31A1,Undirected,120654,,1
SLC29A1,SLC46A2,Undirected,120655,,1
SLC29A1,P2RY4,Undirected,120656,,1
SLC29A1,ALPL,Undirected,120660,,1
SLC29A1,APEX2,Undirected,120661,,1
SLC29A1,HIATL1,Undirected,120665,,1
SLC29A1,DXO,Undirected,120666,,1
SLC29A1,MTHFR,Undirected,120673,,1
SLC29A1,ABCC4,Undirected,120674,,1
SLC29A1,CTNNBIP1,Undirected,120675,,1
SLC29A1,SLC39A12,Undirected,120677,,1
SLC29A1,SLC17A2,Undirected,120680,,1
SLC29A1,SUCLA2,Undirected,120686,,1
SLC29A1,BCAP29,Undirected,120687,,1
SLC29A1,XDH,Undirected,120689,,1
SLC29A1,SLC35B3,Undirected,120690,,1
SLC29A1,CYP1A1,Undirected,120691,,1
SLC29A1,MTAP,Undirected,120696,,1
SLC29A1,SLC46A3,Undirected,120700,,1
SLC29A1,DUT,Undirected,120701,,1
SLC29A1,SLC5A3,Undirected,120702,,1
SLC29A1,SLC34A2,Undirected,120704,,1
SLC29A1,CD9,Undirected,120705,,1
SLC29A1,SLC7A4,Undirected,120707,,1
SLC29A1,AQP4,Undirected,120708,,1
SLC29A1,NT5M,Undirected,120710,,1
SLC29A1,TFPT,Undirected,120711,,1
SLC29A1,TECTA,Undirected,120714,,1
SLC29A1,SLC33A1,Undirected,120715,,1
SLC29A1,ABCC11,Undirected,120722,,1
SLC29A1,SLC9B2,Undirected,120723,,1
SLC29A1,PFDN6,Undirected,120726,,1
SLC29A1,TYMP,Undirected,120729,,1
SLC29A1,SLC5A12,Undirected,120730,,1
SLC29A1,AMPD3,Undirected,120731,,1
SLC29A1,SLC29A4,Undirected,120732,,1
SLC29A1,SLC17A3,Undirected,120733,,1
SLC29A1,ART5,Undirected,120734,,1
SLC29A1,SLC7A7,Undirected,120739,,1
SLC29A1,SLC25A45,Undirected,120743,,1
SLC29A1,ABCC1,Undirected,120746,,1
SLC29A1,MFSD7,Undirected,120750,,1
SLC29A1,ABCB5,Undirected,120751,,1
SLC29A1,AAK1,Undirected,120757,,1
SLC29A1,FUT2,Undirected,120758,,1
SLC29A1,SEC61G,Undirected,120761,,1
SLC29A1,SLC25A12,Undirected,120763,,1
SLC29A1,SLC13A2,Undirected,120765,,1
SLC29A1,FCHO2,Undirected,120767,,1
SLC29A1,SLC25A13,Undirected,120772,,1
SLC29A1,RPF2,Undirected,120774,,1
SLC29A1,MFSD1,Undirected,120775,,1
SLC29A1,SVOPL,Undirected,120776,,1
SLC29A1,CDC45,Undirected,120777,,1
SLC29A1,PAPSS2,Undirected,120779,,1
SLC29A1,NAPEPLD,Undirected,120784,,1
SLC29A1,LAMP2,Undirected,120786,,1
SLC29A1,IFNL3,Undirected,120787,,1
SLC29A1,ABCA13,Undirected,120788,,1
SLC29A1,BCS1L,Undirected,120791,,1
SLC29A1,RCOR3,Undirected,120792,,1
