Source,Target,Type,Id,Label,Weight
CCK,SCTR,Undirected,162435,,1
CCK,PSD,Undirected,162436,,1
CCK,SYT13,Undirected,162437,,1
CCK,CBLN4,Undirected,162439,,1
CCK,CA11,Undirected,162441,,1
CCK,TRPM5,Undirected,162442,,1
CCK,PRLH,Undirected,162445,,1
CCK,DRD4,Undirected,162446,,1
CCK,SCT,Undirected,162447,,2
CCK,FAP,Undirected,162448,,1
CCK,ADAM11,Undirected,162449,,1
CCK,PRRT1,Undirected,162451,,1
CCK,STX1B,Undirected,162454,,1
CCK,XBP1,Undirected,162457,,1
CCK,CHGA,Undirected,162460,,1
CCK,OXT,Undirected,162464,,1
CCK,SLC32A1,Undirected,162465,,1
CCK,PCSK1N,Undirected,162466,,1
CCK,ATP12A,Undirected,162467,,1
CCK,MLNR,Undirected,162468,,1
CCK,CBLN1,Undirected,162470,,1
CCK,PDIA2,Undirected,162472,,1
CCK,ARHGDIG,Undirected,162473,,1
CCK,CRYM,Undirected,162474,,1
CCK,SCG3,Undirected,162477,,1
CCK,NEFM,Undirected,162478,,1
CCK,LHB,Undirected,162479,,1
CCK,SLC17A7,Undirected,162480,,1
CCK,HGF,Undirected,162487,,1
CCK,NPVF,Undirected,162490,,1
CCK,MPO,Undirected,162493,,1
CCK,ASIC2,Undirected,162496,,1
CCK,WFS1,Undirected,162502,,1
CCK,ASIC1,Undirected,162504,,1
CCK,DAO,Undirected,162505,,1
CCK,GRM6,Undirected,162511,,1
CCK,SLC7A14,Undirected,162514,,1
CCK,APOB,Undirected,162516,,1
CCK,OPRD1,Undirected,162521,,1
CCK,PRLHR,Undirected,162526,,1
CCK,TAS2R9,Undirected,162529,,1
CCK,MAPK8IP1,Undirected,162530,,1
CCK,FAAH,Undirected,162534,,1
CCK,MC3R,Undirected,162535,,1
CCK,CPNE5,Undirected,162537,,1
CCK,BBS2,Undirected,162538,,1
CCK,FOSB,Undirected,162543,,1
CCK,GNRH2,Undirected,162545,,1
CCK,LAMP5,Undirected,162546,,1
CCK,FFAR1,Undirected,162549,,1
CCK,TAS2R4,Undirected,162553,,1
CCK,TAS2R5,Undirected,162554,,1
CCK,MCHR1,Undirected,162558,,1
CCK,TPH1,Undirected,162562,,1
CCK,TXNDC17,Undirected,162563,,1
CCK,ATP1B2,Undirected,162564,,1
CCK,NALCN,Undirected,162565,,1
CCK,HCN2,Undirected,162566,,1
CCK,IGSF21,Undirected,162567,,1
CCK,PCDHGC5,Undirected,162570,,1
CCK,CALY,Undirected,162574,,1
CCK,PPP1R1B,Undirected,162577,,1
CCK,SLC6A11,Undirected,162579,,1
CCK,SNAP25,Undirected,162580,,1
CCK,SSTR4,Undirected,162581,,1
CCK,DCLK1,Undirected,162587,,1
CCK,NTS,Undirected,162588,,2
CCK,TSHB,Undirected,162593,,1
CCK,GSTM5,Undirected,162594,,1
CCK,ANO3,Undirected,162596,,1
CCK,DAGLA,Undirected,162600,,1
CCK,KCNH3,Undirected,162603,,1
CCK,NMBR,Undirected,162604,,1
CCK,EMX1,Undirected,162605,,1
CCK,CYP27A1,Undirected,162608,,1
CCK,GABBR2,Undirected,162609,,1
CCK,TTBK1,Undirected,162610,,1
CCK,CLPS,Undirected,162611,,1
CCK,HTR3B,Undirected,162613,,1
CCK,UNC13C,Undirected,162615,,1
CCK,SYT1,Undirected,162620,,1
CCK,FAM189A1,Undirected,162621,,1
CCK,NOL4,Undirected,162622,,1
CCK,RIMBP2,Undirected,162623,,1
CCK,FAT2,Undirected,162627,,1
CCK,VIPR2,Undirected,162628,,1
CCK,SLC1A1,Undirected,162631,,1
CCK,GLP2R,Undirected,162632,,1
CCK,CHST8,Undirected,162637,,1
CCK,ATP4A,Undirected,162638,,1
CCK,GRIK5,Undirected,162642,,1
CCK,UCP1,Undirected,162644,,1
CCK,SLC17A6,Undirected,162647,,1
CCK,SYP,Undirected,162648,,1
CCK,P2RX3,Undirected,162650,,1
CCK,ATP2B3,Undirected,162654,,1
CCK,CNRIP1,Undirected,162656,,1
CCK,VAMP8,Undirected,162660,,1
CCK,NGEF,Undirected,162661,,1
CCK,GLRB,Undirected,162668,,1
CCK,KNG1,Undirected,162673,,1
CCK,NPR3,Undirected,162675,,1
CCK,ENPEP,Undirected,162677,,1
CCK,NRXN2,Undirected,162681,,1
CCK,CPT1A,Undirected,162683,,1
CCK,GAL,Undirected,162684,,1
CCK,ELMOD1,Undirected,162686,,1
CCK,KCNC1,Undirected,162688,,1
CCK,DOCK3,Undirected,162689,,1
CCK,NPFF,Undirected,162692,,1
CCK,SRRM4,Undirected,162694,,1
CCK,SSTR1,Undirected,162695,,1
CCK,CBLN3,Undirected,162696,,1
CCK,DYM,Undirected,162701,,1
CCK,CBLN2,Undirected,162702,,1
CCK,PNMT,Undirected,162704,,1
CCK,LMTK3,Undirected,162705,,1
CCK,FXYD7,Undirected,162706,,1
CCK,ILDR2,Undirected,162709,,1
CCK,REN,Undirected,162711,,1
CCK,VPS54,Undirected,162713,,1
CCK,C1QL2,Undirected,162714,,1
CCK,TMEFF2,Undirected,162715,,1
CCK,CRHBP,Undirected,162720,,1
CCK,GABRB2,Undirected,162722,,1
CCK,TAAR1,Undirected,162725,,1
CCK,GPR119,Undirected,162728,,1
CCK,RSPO2,Undirected,162731,,1
CCK,NTRK2,Undirected,162732,,1
CCK,NPFFR1,Undirected,162733,,1
CCK,SCN2B,Undirected,162737,,1
CCK,ADRA2A,Undirected,162739,,1
CCK,MCHR2,Undirected,162745,,1
CCK,TMEM163,Undirected,162746,,1
CCK,TMEM178A,Undirected,162747,,1
CCK,GRID2,Undirected,162748,,1
CCK,GRIA4,Undirected,162751,,1
CCK,JPH3,Undirected,162757,,1
CCK,NRGN,Undirected,162758,,1
CCK,UCHL1,Undirected,162759,,1
CCK,RAB6B,Undirected,162762,,1
CCK,KCNMA1,Undirected,162767,,1
CCK,LHFPL4,Undirected,162769,,1
CCK,NMNAT2,Undirected,162771,,1
CCK,SLC6A1,Undirected,162772,,1
CCK,HTR5A,Undirected,162774,,1
CCK,ERC2,Undirected,162775,,1
CCK,PCDHAC2,Undirected,162776,,1
CCK,SLCO2B1,Undirected,162778,,1
CCK,SLC5A11,Undirected,162780,,1
CCK,CHRNB3,Undirected,162781,,1
CCK,UBR1,Undirected,162785,,1
CCK,ACE,Undirected,162787,,1
CCK,HAPLN4,Undirected,162789,,1
CCK,S100B,Undirected,162790,,1
CCK,CELF5,Undirected,162794,,1
CCK,HCRT,Undirected,162796,,1
CCK,CELA1,Undirected,162798,,1
CCK,SSTR5,Undirected,162800,,1
CCK,GNG3,Undirected,162801,,1
CCK,TPCN2,Undirected,162802,,1
CCK,LRRTM1,Undirected,162804,,1
CCK,KCNJ3,Undirected,162806,,1
CCK,NEUROD1,Undirected,162807,,1
CCK,GABRG1,Undirected,162808,,1
CCK,GABRB1,Undirected,162809,,1
CCK,CCKAR,Undirected,162810,,1
CCK,RNPEP,Undirected,162812,,1
CCK,PTPRN,Undirected,162813,,1
CCK,UCN,Undirected,162820,,1
CCK,CAMK2N2,Undirected,162822,,1
CCK,RHO,Undirected,162823,,1
CCK,SLC51A,Undirected,162824,,1
CCK,SPINK1,Undirected,162829,,1
CCK,CARTPT,Undirected,162830,,1
CCK,DAGLB,Undirected,162831,,1
CCK,NEUROD6,Undirected,162832,,1
CCK,ASIC3,Undirected,162835,,1
CCK,LRFN5,Undirected,162836,,1
CCK,TRIM9,Undirected,162838,,1
CCK,JAKMIP3,Undirected,162840,,1
CCK,C1QL3,Undirected,162842,,1
CCK,TMEM132B,Undirected,162845,,1
CCK,GALR1,Undirected,162846,,1
CCK,MC4R,Undirected,162847,,1
CCK,CHRFAM7A,Undirected,162848,,1
CCK,CACNG2,Undirected,162849,,1
CCK,NYAP1,Undirected,162851,,1
CCK,GPRC5B,Undirected,162853,,1
CCK,TRPV3,Undirected,162856,,1
CCK,CYP7A1,Undirected,162857,,1
CCK,MYRIP,Undirected,162859,,1
CCK,PRL,Undirected,162862,,1
CCK,ATP6V1G2,Undirected,162863,,1
CCK,ATOH1,Undirected,162864,,1
CCK,C1QTNF4,Undirected,162865,,1
CCK,LGI3,Undirected,162866,,1
CCK,INSL5,Undirected,162871,,1
CCK,OTP,Undirected,162872,,1
CCK,TRH,Undirected,162875,,1
CCK,NTSR2,Undirected,162878,,1
CCK,ABCC8,Undirected,162879,,1
CCK,SCG2,Undirected,162880,,1
CCK,CDK5R2,Undirected,162881,,1
CCK,PYDC1,Undirected,162882,,1
CCK,KNDC1,Undirected,162883,,1
CCK,FSTL5,Undirected,162889,,1
CCK,CPLX1,Undirected,162891,,1
CCK,OTUD7A,Undirected,162892,,1
CCK,PAM,Undirected,162894,,1
CCK,DRD5,Undirected,162895,,1
CCK,GRM5,Undirected,162896,,1
CCK,FOS,Undirected,162897,,1
CCK,GPR37,Undirected,162900,,1
CCK,NEUROD2,Undirected,162905,,1
CCK,PCDHGC4,Undirected,162906,,1
CCK,CHST14,Undirected,162909,,1
CCK,HCN1,Undirected,162910,,1
CCK,ARNT2,Undirected,162912,,1
CCK,KCNS1,Undirected,162915,,1
CCK,HTR1E,Undirected,162916,,1
CCK,NPFFR2,Undirected,162918,,1
CCK,PCSK1,Undirected,162919,,1
CCK,SNCB,Undirected,162920,,1
CCK,F2,Undirected,162921,,1
CCK,ZCCHC12,Undirected,162924,,1
CCK,CHST1,Undirected,162927,,1
CCK,GPRC6A,Undirected,162928,,1
CCK,CNIH2,Undirected,162931,,1
CCK,NRIP3,Undirected,162932,,1
CCK,LMAN1L,Undirected,162934,,1
CCK,PCP2,Undirected,162936,,1
CCK,FNDC9,Undirected,162937,,1
CCK,CYP7B1,Undirected,162939,,1
CCK,AQP1,Undirected,162941,,1
CCK,ASPHD1,Undirected,162943,,1
CCK,GPR162,Undirected,162944,,1
CCK,RTP1,Undirected,162945,,1
CCK,TTC9B,Undirected,162946,,1
CCK,LGI4,Undirected,162949,,1
CCK,MOBP,Undirected,162951,,1
CCK,BAALC,Undirected,162952,,1
CCK,GH1,Undirected,162955,,1
CCK,NETO1,Undirected,162958,,1
CCK,CTXN1,Undirected,162959,,1
CCK,MBOAT4,Undirected,162960,,1
CCK,VAMP2,Undirected,162961,,1
CCK,GPR88,Undirected,162962,,1
CCK,ALOXE3,Undirected,162963,,1
CCK,KIAA1549L,Undirected,162967,,1
CCK,DSCAML1,Undirected,162968,,1
CCK,HTR1A,Undirected,162969,,1
CCK,DLGAP1,Undirected,162970,,1
CCK,TMEM132E,Undirected,162971,,1
CCK,SLC17A8,Undirected,162974,,1
CCK,CHST13,Undirected,162976,,1
CCK,RPRML,Undirected,162979,,1
CCK,PNMAL1,Undirected,162981,,1
CCK,ZDHHC22,Undirected,162982,,1
CCK,CDK5R1,Undirected,162984,,1
CCK,BHLHE22,Undirected,162986,,1
CCK,GPR62,Undirected,162988,,1
CCK,PRR18,Undirected,162989,,1
CCK,KCND3,Undirected,162990,,1
CCK,DYNC1I1,Undirected,162992,,1
CCK,NPEPPS,Undirected,162993,,1
CCK,ST8SIA3,Undirected,162994,,1
CCK,CCDC184,Undirected,162995,,1
CCK,TAC1,Undirected,162997,,1
CCK,ST8SIA5,Undirected,163000,,1
CCK,FGF13,Undirected,163004,,1
CCK,SCN4B,Undirected,163005,,1
CCK,HTR1F,Undirected,163007,,1
CCK,UTS2R,Undirected,163008,,1
CCK,AATK,Undirected,163012,,1
CCK,MTURN,Undirected,163013,,1
CCK,PENK,Undirected,163014,,1
CCK,OXTR,Undirected,163015,,1
CCK,SYCN,Undirected,163019,,1
CCK,SERTM1,Undirected,163020,,1
CCK,TMEM151A,Undirected,163024,,1
CCK,GPR39,Undirected,163026,,1
CCK,STAC2,Undirected,163027,,1
CCK,NPTXR,Undirected,163028,,1
CCK,LPAR5,Undirected,163030,,1
CCK,FFAR3,Undirected,163031,,1
CCK,CEND1,Undirected,163032,,1
CCK,KCNA4,Undirected,163033,,1
CCK,SLC25A18,Undirected,163035,,1
CCK,TPH2,Undirected,163036,,1
CCK,NXPH3,Undirected,163037,,1
CCK,PCP4,Undirected,163038,,1
CCK,GALR2,Undirected,163041,,1
CCK,NPW,Undirected,163043,,1
CCK,RESP18,Undirected,163045,,1
CCK,NPBWR1,Undirected,163046,,1
CCK,LEPR,Undirected,163048,,1
CCK,MAPK8IP2,Undirected,163050,,1
CCK,HS3ST4,Undirected,163051,,1
CCK,GAST,Undirected,163056,,1
CCK,FAM43B,Undirected,163057,,1
CCK,DBX2,Undirected,163058,,1
CCK,SYNDIG1L,Undirected,163059,,1
CCK,TAS1R1,Undirected,163062,,1
CCK,WSCD2,Undirected,163063,,1
CCK,SPPL2C,Undirected,163067,,1
CCK,SULT4A1,Undirected,163068,,1
CCK,NPY2R,Undirected,163069,,1
CCK,NPB,Undirected,163071,,1
CCK,MARCH11,Undirected,163073,,1
CCK,KCND2,Undirected,163074,,1
CCK,NXPH4,Undirected,163076,,1
CCK,HOMER1,Undirected,163080,,1
CCK,DMRTC1B,Undirected,163081,,1
CCK,RGS7BP,Undirected,163082,,1
CCK,VSTM2B,Undirected,163083,,1
CCK,GPR142,Undirected,163086,,1
CCK,CCKBR,Undirected,163087,,1
